MIDAS,Lake,Town,StationName,Date,Year,Secchi_Depth,Station
5786,Sebago Lake,"Gray, Windham",Big Bay,2007-10-26T00:00:00Z,2007,9.600000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2008-05-21T00:00:00Z,2008,9.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2008-06-11T00:00:00Z,2008,10.899999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2008-07-22T00:00:00Z,2008,10.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2008-08-27T00:00:00Z,2008,9.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2008-09-16T00:00:00Z,2008,9,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2008-10-24T00:00:00Z,2008,10,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2009-05-12T00:00:00Z,2009,9.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2009-06-25T00:00:00Z,2009,9.550000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2009-07-15T00:00:00Z,2009,8.800000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2009-08-06T00:00:00Z,2009,10.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2009-09-23T00:00:00Z,2009,8.800000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2009-10-20T00:00:00Z,2009,9.350000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2010-05-21T00:00:00Z,2010,10.600000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2010-06-29T00:00:00Z,2010,10,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2010-07-28T00:00:00Z,2010,9.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2010-08-26T00:00:00Z,2010,8.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2010-09-28T00:00:00Z,2010,9.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2010-10-14T00:00:00Z,2010,10.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2011-05-26T00:00:00Z,2011,8.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2011-06-28T00:00:00Z,2011,10.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2011-07-25T00:00:00Z,2011,10.899999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2011-08-12T00:00:00Z,2011,11.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2011-08-24T00:00:00Z,2011,10.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2011-09-26T00:00:00Z,2011,10.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2011-10-24T00:00:00Z,2011,10.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2012-04-25T00:00:00Z,2012,10.800000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2012-05-23T00:00:00Z,2012,11,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2012-06-18T00:00:00Z,2012,7.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2012-07-20T00:00:00Z,2012,10,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2012-09-06T00:00:00Z,2012,9.600000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2012-10-02T00:00:00Z,2012,10,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2012-10-17T00:00:00Z,2012,10,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2013-05-28T00:00:00Z,2013,10.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2013-06-26T00:00:00Z,2013,8.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2013-07-17T00:00:00Z,2013,10.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2013-08-19T00:00:00Z,2013,7.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2013-09-19T00:00:00Z,2013,8.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2013-10-29T00:00:00Z,2013,10.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2014-05-30T00:00:00Z,2014,8.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2014-06-23T00:00:00Z,2014,11.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2014-07-22T00:00:00Z,2014,11.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2014-09-02T00:00:00Z,2014,9.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2014-09-16T00:00:00Z,2014,8.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2014-11-04T00:00:00Z,2014,10.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2015-05-12T00:00:00Z,2015,10.600000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2015-06-26T00:00:00Z,2015,11.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2015-07-21T00:00:00Z,2015,11.600000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2015-08-13T00:00:00Z,2015,12,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2015-09-22T00:00:00Z,2015,10.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2015-10-13T00:00:00Z,2015,10.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2016-05-23T00:00:00Z,2016,11.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2016-06-23T00:00:00Z,2016,10.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2016-07-27T00:00:00Z,2016,13.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2016-08-30T00:00:00Z,2016,11.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2016-09-22T00:00:00Z,2016,12.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2016-10-17T00:00:00Z,2016,12.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2017-05-17T00:00:00Z,2017,10.899999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2017-06-29T00:00:00Z,2017,9.600000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2017-07-21T00:00:00Z,2017,11.699999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2017-08-15T00:00:00Z,2017,7.599999904632568,101
